,,,,B&C+GSF,,,,,,B&C+EF,,,,,
m,n,p,r,Obj,T(G%),N,LPG(%),CT,C,Obj,T(G%),N,LPG(%),CT,C
500,500,2,2,1358.000,7.7,3,<0.1,5.7,40,1358.000,119.8,0,<0.1,5.8,3
500,500,2,5,882.851,256.6,28,0.5,251.9,1911,882.851,1153.0,27,0.5,56.2,25
500,500,2,10,707.142,149.4,22,0.2,146.2,994,707.142,1030.7,14,0.2,52.8,25
500,500,2,50,500.237,7.4,3,<0.1,5.3,74,500.237,226.7,0,<0.1,4.4,4
500,500,5,2,1827.562,279.9,51,<0.1,242.5,5878,1827.562,1019.9,58,<0.1,87.7,13
500,500,5,5,1358.000,28.4,7,<0.1,25.4,488,1358.000,81.6,3,<0.1,10.4,3
500,500,5,10,1121.053,18.7,3,<0.1,15.9,587,1121.053,76.6,7,<0.1,12.2,6
500,500,5,50,826.549,12.0,3,<0.1,9.4,415,826.549,52.8,0,<0.1,3.9,4
500,500,10,2,2006.534,(0.1),71,<0.1,871.4,60323,2007.298,3027.3,180,<0.1,370.7,16
500,500,10,5,1594.947,181.7,3,<0.1,73.1,6293,1594.947,109.6,3,<0.1,9.4,6
500,500,10,10,1358.000,18.3,3,<0.1,13.4,834,1358.000,49.8,1,<0.1,7.3,6
500,500,10,50,1036.268,27.3,3,<0.1,21.8,1936,1036.268,35.5,0,<0.1,3.4,3
500,500,50,2,2215.763,231.7,0,<0.1,116.2,24271,2215.763,23.7,0,<0.1,6.5,4
500,500,50,5,1889.451,300.0,3,<0.1,93.6,19075,1889.451,16.1,0,<0.1,6.8,4
500,500,50,10,1679.732,182.1,0,<0.1,43.9,8628,1679.732,14.1,0,<0.1,5.7,4
500,500,50,50,1358.000,140.0,0,<0.1,35.6,6820,1358.000,10.7,0,<0.1,3.3,3
500,800,2,2,1358.000,12.8,3,<0.1,10.7,41,1358.000,295.9,0,<0.1,8.7,3
500,800,2,5,891.549,1632.7,94,0.8,1546.0,7861,891.549,3756.3,75,1.3,218.2,29
500,800,2,10,701.716,280.8,13,0.2,274.9,1565,701.716,2213.7,15,0.1,55.4,23
500,800,2,50,502.442,31.4,5,<0.1,29.2,243,502.442,380.6,3,<0.1,8.5,8
500,800,5,2,1818.286,525.2,45,<0.1,445.4,6564,1818.286,3383.1,107,<0.1,283.8,15
500,800,5,5,1358.000,44.4,3,<0.1,39.9,1008,1358.000,176.3,0,<0.1,8.8,3
500,800,5,10,1109.254,136.1,13,<0.1,122.5,2111,1109.254,270.2,9,<0.1,19.7,5
500,800,5,50,816.707,367.6,16,<0.1,310.2,7137,816.707,317.1,7,<0.1,15.1,12
500,800,10,2,2012.616,4079.7,145,0.2,1037.6,29625,2012.616,2236.9,116,<0.1,318.8,16
500,800,10,5,1606.703,141.7,13,0.1,110.6,4964,1606.703,156.7,3,<0.1,20.2,8
500,800,10,10,1358.000,23.8,3,<0.1,18.3,745,1358.000,75.3,0,<0.1,6.3,3
500,800,10,50,1041.993,45.3,3,<0.1,38.5,2484,1041.993,77.9,0,<0.1,5.6,4
500,800,50,2,2213.550,626.7,6,<0.1,274.5,45127,2213.550,62.3,5,<0.1,22.6,5
500,800,50,5,1899.261,944.8,11,<0.1,153.2,19684,1899.261,114.1,19,<0.1,62.8,11
500,800,50,10,1674.007,1684.0,58,<0.1,219.1,20451,1674.007,68.7,28,<0.1,33.7,3
500,800,50,50,1358.000,403.9,7,<0.1,87.4,12133,1358.000,44.3,13,<0.1,16.0,9
500,1000,2,2,1358.000,13.2,3,<0.1,11.2,45,1358.000,500.6,0,<0.1,10.6,3
500,1000,2,5,891.948,2572.9,94,0.5,2363.9,11398,891.948,5697.3,82,0.5,310.3,31
500,1000,2,10,701.716,124.8,9,0.1,121.3,695,701.716,3320.0,13,0.1,43.1,16
500,1000,2,50,501.455,66.5,9,<0.1,64.3,233,501.455,645.4,5,<0.1,15.9,13
500,1000,5,2,1818.882,1437.0,99,<0.1,1187.0,11506,1818.882,6501.3,151,<0.1,467.8,14
500,1000,5,5,1358.000,51.2,5,<0.1,47.6,432,1358.000,317.0,3,<0.1,21.2,8
500,1000,5,10,1109.686,57.0,5,<0.1,52.7,813,1109.686,345.6,3,<0.1,14.2,7
500,1000,5,50,815.466,224.9,9,<0.1,185.6,3016,815.466,437.9,9,<0.1,20.1,13
500,1000,10,2,2013.183,2787.7,56,0.1,815.2,24979,2013.183,4039.8,124,<0.1,401.2,15
500,1000,10,5,1606.279,417.2,5,<0.1,200.4,10134,1606.279,235.7,5,<0.1,24.5,7
500,1000,10,10,1358.000,44.1,3,<0.1,35.5,1511,1358.000,140.6,0,<0.1,7.6,3
500,1000,10,50,1040.400,51.0,3,<0.1,42.4,2242,1040.400,116.4,0,<0.1,6.1,4
500,1000,50,2,2214.527,2323.9,33,<0.1,590.2,74790,2214.527,239.0,33,<0.1,125.3,12
500,1000,50,5,1900.510,2006.1,31,<0.1,308.2,28631,1900.510,140.1,21,<0.1,71.6,9
500,1000,50,10,1675.600,584.4,3,<0.1,108.6,13344,1675.600,35.0,0,<0.1,9.3,3
500,1000,50,50,1358.000,536.4,3,<0.1,105.4,12981,1358.000,41.9,3,<0.1,8.9,3
800,500,2,2,2184.000,18.6,3,<0.1,16.6,70,2184.000,316.8,0,<0.1,9.3,3
800,500,2,5,1442.152,808.3,64,0.7,790.2,4257,1442.152,5182.2,85,0.7,323.7,38
800,500,2,10,1126.576,100.9,12,<0.1,97.9,840,1126.576,1991.1,9,<0.1,27.3,12
800,500,2,50,821.152,283.8,21,0.2,280.1,1284,821.152,810.7,3,<0.1,20.2,14
800,500,5,2,2914.296,995.6,49,<0.1,682.4,16441,2914.296,3469.2,35,<0.1,107.4,15
800,500,5,5,2184.000,21.4,3,<0.1,18.8,337,2184.000,205.7,0,<0.1,9.9,3
800,500,5,10,1786.780,24.4,3,<0.1,21.9,510,1786.780,188.1,0,<0.1,9.4,4
800,500,5,50,1331.486,23.8,5,<0.1,20.9,595,1331.486,202.3,3,<0.1,9.3,7
800,500,10,2,3240.524,225.4,23,<0.1,196.7,5899,3240.524,1228.8,24,<0.1,110.7,16
800,500,10,5,2581.220,42.0,3,<0.1,35.3,1753,2581.220,125.8,0,<0.1,11.0,4
800,500,10,10,2184.000,22.4,3,<0.1,18.0,733,2184.000,78.9,0,<0.1,7.9,3
800,500,10,50,1693.300,25.9,3,<0.1,21.6,1010,1693.300,71.0,0,<0.1,5.6,3
800,500,50,2,3546.318,(0.0),43,<0.1,853.2,85399,3546.559,2213.6,572,<0.1,1497.9,12
800,500,50,5,3036.491,1613.8,31,<0.1,311.0,30928,3036.491,97.3,17,<0.1,46.9,9
800,500,50,10,2674.700,698.3,9,<0.1,171.5,18928,2674.700,51.1,7,<0.1,18.4,3
800,500,50,50,2184.000,719.5,9,<0.1,183.4,20945,2184.000,39.7,3,<0.1,10.6,3
800,800,2,2,2184.000,32.5,3,<0.1,30.5,111,2184.000,828.1,0,<0.1,16.3,3
800,800,2,5,1415.621,3350.5,110,1.1,3231.9,12120,1411.821,(1.4),11,1.4,124.9,22
800,800,2,10,1122.056,1682.8,46,0.5,1656.5,4751,1122.056,(0.5),6,0.5,97.5,17
800,800,2,50,799.141,14.4,5,<0.1,12.3,73,799.141,2394.6,3,<0.1,16.1,8
800,800,5,2,2933.936,5957.1,122,<0.1,2777.6,37266,2931.925,(0.3),41,0.2,260.7,16
800,800,5,5,2184.000,109.2,3,<0.1,98.7,1659,2184.000,543.6,0,<0.1,19.1,3
800,800,5,10,1778.004,7132.1,84,0.1,2625.8,44571,1778.004,2169.9,37,<0.1,111.6,12
800,800,5,50,1306.711,(0.1),33,0.1,2966.4,54900,1307.081,2668.7,43,<0.1,116.9,37
800,800,10,2,3237.819,(0.1),43,0.1,1525.3,45013,3215.528,(0.8),4,0.8,81.8,15
800,800,10,5,2588.917,837.6,27,<0.1,494.3,10572,2588.917,2467.1,47,<0.1,360.7,13
800,800,10,10,2184.000,44.7,3,<0.1,37.2,887,2184.000,260.4,3,<0.1,18.3,5
800,800,10,50,1664.814,119.0,5,<0.1,81.9,2778,1664.814,262.7,5,<0.1,16.1,7
800,800,50,2,3568.798,(0.0),18,<0.1,1097.0,104982,3568.798,1080.0,86,<0.1,353.1,12
800,800,50,5,3060.560,(0.0),23,<0.1,790.4,52487,3060.612,2656.5,174,<0.1,1453.8,15
800,800,50,10,2703.168,1471.5,9,<0.1,329.8,27390,2703.168,240.2,43,<0.1,112.6,7
800,800,50,50,2184.000,1256.7,9,<0.1,312.8,25238,2184.000,77.5,8,<0.1,23.4,6
800,1000,2,2,2184.000,42.0,3,<0.1,39.9,133,2184.000,1249.4,0,<0.1,19.9,3
800,1000,2,5,1415.597,(0.8),78,0.9,6614.6,19353,1403.724,(3.4),2,3.4,37.8,9
800,1000,2,10,1121.391,3334.8,76,0.7,3229.3,8682,1116.095,(2.8),2,2.8,28.6,7
800,1000,2,50,797.457,96.3,5,<0.1,94.0,230,797.457,4115.0,5,<0.1,24.1,11
800,1000,5,2,2938.506,1728.0,65,<0.1,1473.1,9301,2888.492,(1.8),8,1.8,113.2,11
800,1000,5,5,2184.000,60.3,3,<0.1,53.9,702,2184.000,806.8,0,<0.1,25.6,4
800,1000,5,10,1782.909,6705.6,41,<0.1,2306.6,31284,1782.909,3180.6,50,<0.1,222.7,18
800,1000,5,50,1308.218,120.3,5,<0.1,101.0,1355,1308.218,1182.5,3,<0.1,24.8,10
800,1000,10,2,3236.448,(0.2),41,0.2,1505.9,36018,3216.068,(2.6),2,2.6,62.1,11
800,1000,10,5,2585.051,252.7,14,0.2,210.0,3068,2585.051,1022.5,11,<0.1,96.3,6
800,1000,10,10,2184.000,61.5,3,<0.1,48.6,1077,2184.000,446.8,3,<0.1,22.4,6
800,1000,10,50,1661.573,55.6,3,<0.1,41.9,1142,1661.573,352.7,0,<0.1,8.0,3
800,1000,50,2,3570.485,5465.8,29,<0.1,980.0,73490,3570.485,1156.2,55,<0.1,298.4,12
800,1000,50,5,3059.782,1224.6,3,<0.1,291.0,22085,3059.782,153.1,1,<0.1,34.6,6
800,1000,50,10,2706.427,1099.6,3,<0.1,260.7,20199,2706.427,111.9,6,<0.1,29.1,6
800,1000,50,50,2184.000,891.4,0,<0.1,224.0,17672,2184.000,53.3,0,<0.1,7.8,3
1000,500,2,2,2716.000,18.4,1,<0.1,16.3,38,2716.000,568.5,0,<0.1,12.3,3
1000,500,2,5,1760.418,1859.3,88,1.3,1775.0,9537,1760.118,(1.1),49,3.1,308.0,34
1000,500,2,10,1398.562,316.1,21,0.4,311.5,1512,1398.562,5688.7,13,0.2,113.2,24
1000,500,2,50,1002.031,138.2,10,<0.1,135.7,665,1002.031,1213.5,5,<0.1,37.8,19
1000,500,5,2,3647.576,522.8,33,<0.1,444.6,8293,3647.576,6271.7,48,<0.1,250.5,15
1000,500,5,5,2716.000,118.0,3,<0.1,100.7,2497,2716.000,719.0,3,<0.1,24.4,6
1000,500,5,10,2220.333,194.8,7,<0.1,157.7,4021,2220.333,810.6,3,<0.1,28.6,7
1000,500,5,50,1637.317,1193.7,30,<0.1,763.6,17431,1637.317,2467.9,18,0.1,72.5,22
1000,500,10,2,4030.023,5298.1,44,<0.1,1206.1,47553,4030.023,5788.0,45,<0.1,215.3,12
1000,500,10,5,3211.667,1410.5,20,<0.1,555.5,17555,3211.667,729.6,15,<0.1,82.4,7
1000,500,10,10,2716.000,70.9,3,<0.1,53.6,1846,2716.000,319.0,3,<0.1,19.7,5
1000,500,10,50,2079.311,1168.7,17,<0.1,397.2,17227,2079.311,466.1,33,<0.1,63.2,10
1000,500,50,2,4429.355,(0.0),24,<0.1,1322.3,138158,4429.497,1015.6,93,<0.1,358.9,12
1000,500,50,5,3792.352,(0.1),7,<0.1,827.5,71958,3793.855,3075.0,350,<0.1,1692.5,11
1000,500,50,10,3352.524,(0.0),15,<0.1,568.5,45772,3352.689,334.8,50,<0.1,206.6,11
1000,500,50,50,2715.420,(0.0),18,<0.1,647.9,47960,2716.000,250.6,90,<0.1,166.5,7
1000,800,2,2,2716.000,21.0,5,1.6,19.0,69,2716.000,1538.4,0,<0.1,17.5,3
1000,800,2,5,1765.264,5231.5,129,1.4,5001.4,14850,1750.855,(2.2),3,2.2,77.7,15
1000,800,2,10,1406.534,1918.3,56,0.5,1868.1,6872,1395.197,(2.1),2,2.1,34.5,7
1000,800,2,50,1005.860,1385.6,41,0.4,1363.7,4044,1003.198,(0.4),5,0.4,38.7,14
1000,800,5,2,3642.011,2523.3,51,<0.1,1522.2,17390,3563.581,(3.3),1,3.3,26.2,6
1000,800,5,5,2716.000,381.0,24,<0.1,358.6,1968,2716.000,1544.2,27,<0.1,173.9,8
1000,800,5,10,2238.829,395.6,19,<0.1,352.9,3027,2238.829,1164.9,11,<0.1,70.4,8
1000,800,5,50,1656.940,116.9,7,<0.1,100.7,1818,1656.940,1421.9,5,<0.1,37.3,10
1000,800,10,2,4018.780,(0.0),47,<0.1,1797.6,40779,3987.321,(1.7),1,1.7,43.3,9
1000,800,10,5,3193.171,258.5,8,<0.1,181.3,3944,3193.171,2090.1,3,<0.1,43.7,6
1000,800,10,10,2716.000,1076.7,18,<0.1,438.0,9351,2716.000,1161.2,13,<0.1,87.7,5
1000,800,10,50,2077.281,3746.6,32,<0.1,969.9,23982,2077.281,1972.6,29,<0.1,93.0,11
1000,800,50,2,4424.054,(0.0),25,<0.1,1575.7,119031,4424.300,3424.6,189,<0.1,1104.0,8
1000,800,50,5,3775.055,4062.1,15,<0.1,586.2,35188,3775.055,231.7,11,<0.1,70.6,4
1000,800,50,10,3354.719,1451.2,3,<0.1,342.1,23867,3354.719,135.2,3,<0.1,50.0,3
1000,800,50,50,2716.000,1218.2,3,<0.1,345.4,25455,2716.000,81.5,0,<0.1,11.1,3
1000,1000,2,2,2716.000,22.2,3,<0.1,20.1,58,2716.000,2392.7,0,<0.1,24.3,3
1000,1000,2,5,1765.431,(1.1),78,1.3,6879.6,17564,1763.068,(3.2),7,3.2,74.5,12
1000,1000,2,10,1406.499,7135.8,85,4.6,6595.1,20373,1394.502,(74.3),0,74.3,24.3,4
1000,1000,2,50,1004.072,3035.0,43,0.2,2971.3,8951,1001.851,(1.8),1,1.8,23.0,8
1000,1000,5,2,3642.702,2230.9,59,<0.1,1787.2,9893,3575.072,(4.7),1,4.7,31.5,5
1000,1000,5,5,2716.000,57.3,3,<0.1,52.6,481,2716.000,1185.4,0,<0.1,33.6,4
1000,1000,5,10,2240.512,85.5,3,<0.1,78.4,953,2240.512,1040.4,3,<0.1,34.0,5
1000,1000,5,50,1655.092,856.2,16,<0.1,699.9,8243,1655.092,2678.5,9,<0.1,74.4,17
1000,1000,10,2,4019.055,(0.0),36,<0.1,1954.0,34314,3988.899,(1.7),1,1.7,36.1,6
1000,1000,10,5,3191.488,161.4,3,<0.1,113.5,2445,3191.488,2520.4,3,<0.1,47.3,6
1000,1000,10,10,2714.968,(0.1),43,0.1,1445.5,22784,2716.000,2051.7,37,<0.1,248.0,6
1000,1000,10,50,2074.701,3887.3,17,<0.1,1035.0,25190,2074.701,1802.8,19,<0.1,60.6,8
1000,1000,50,2,4425.640,(0.0),10,<0.1,1451.7,95933,4425.624,(0.0),246,<0.1,2009.2,12
1000,1000,50,5,3774.285,(0.1),4,<0.1,688.5,40884,3776.152,2104.5,87,<0.1,702.1,8
1000,1000,50,10,3357.253,(0.0),21,<0.1,682.6,34138,3357.274,423.9,29,<0.1,257.6,4
1000,1000,50,50,2716.000,1230.4,3,<0.1,297.6,18523,2716.000,115.1,1,<0.1,17.9,3
Average,,,,,384.5,11,0.1,608.2,15861.2,,613.6,6,0.8,122.3,9.4
Solved,,,,124,,,,,,124,,,,,
